F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,Target
UK,-60.46,180.9,High,17648.82,-1.83,-259.74,-4.91,-83.17,39.72,-459.45,-1684.38,23.69,1521.14,-4.32,289.76,-26.44,191.25,241.26,2,7906.47,5,441.56,2.01,4444.26,-957.36,129.99,-2956.2,45.22,3.96,18811.46,17.46,-2255.55,-852.68,517.57
UK,-69.94,219.48,Very low,21083.16,1.11,-341.58,-0.91,-52.16,74.73,-53.25,-2158.98,21.88,436.9,-6.4,482.54,-31.22,230.55,236.9,5,-1205.07,5,-1389.86,0.04,4120.92,-959.76,272.31,-1544.54,45.06,7.02,15912.29,6.63,-1398.05,-2326.74,183.12
USA,-70.66,196.5,High,25641.66,4.35,-431.97,-12.27,-33.84,35.64,1596.03,-1513.5,20.85,1063,-9.22,-163,-31.52,244.38,314.48,2,3080.73,7,-1740.32,13.72,4284.84,-484.5,244.05,-2092.16,42.96,9.82,16942.09,10.17,-1857.83,-1934.52,360.47
Rest,-60.42,133.59,Low,39353.22,11.4,-293.82,-8.42,-141.04,62.37,1332.03,-1761.57,21.57,735.92,-8.96,61.6,-28.36,182.7,280.98,7,3404.22,2,-1648.24,6.61,4191.74,-290.6,255.3,-1972.54,48.16,0.44,21026.56,22.5,-1748.07,-2556.16,-8.93
Europe,-70.14,263.07,Low,8330.28,33.39,-299.34,-5.98,-34.03,65.13,9.36,64.98,25.66,1520.22,-20.56,505.3,-24.13,333.3,284.36,6,6897.83,7,-1473.18,0.11,4262.44,-1695.94,298.14,-838.66,40.78,2.82,19191.3,19.02,-1381.81,-2169.12,-8.93
Europe,-72.9,224.31,High,19476.81,-7.68,-183.69,-6.86,-30.87,62.28,810.72,-5.76,21.77,970.8,0.72,639.28,-32.18,158.04,277.94,4,4576.47,2,35.92,2.42,4251.76,-41.8,100.2,-1424.48,42.72,1.86,18914.03,2.85,-2177.83,-2058.84,494.62
USA,-74.24,186.93,Very low,38948.34,3.09,-352.5,-16.47,-96.8,55.74,925.02,-1603.8,24.06,1431.08,-2.06,-118.04,-27.83,233.85,343.54,2,2172.54,4,398.2,0.59,3418.3,-1168.92,-4.8,-1771.26,47.76,3.18,27044.8,5.67,-1964.92,-3457.8,234.84
Europe,-58.78,228.72,Medium,23402.94,6.09,-152.7,-11.57,-130.99,59.25,1363.2,-653.49,28.79,818.4,-8.62,279.86,-31.43,80.1,409.08,3,6662.4,3,-1332.88,1.09,3150.78,-1319.96,281.07,-2391.12,46.82,17.5,20296.24,16.05,-1793.57,-1898.58,-8.93
Rest,-67.38,202.23,Very high,16076.1,-5.22,-327.12,-4.02,-69.35,56.58,-233.67,-1670.7,25.94,542.28,-4.06,-66.3,-30.28,191.82,294.28,3,231.55,5,-2169.84,8.05,3750.8,-929,288.57,-1760.18,47.94,9,16510.1,8.1,-2049.62,-1832.12,269.6
USA,-78.86,194.79,Low,26123.28,13.29,-335.19,-9.53,-83.61,59.16,400.05,-822.33,32.69,1533.6,-2.06,232.67,-28.55,81.39,324.16,4,4404.17,6,-530.82,26.06,5068.06,-1060.88,137.7,-1312.88,33.52,9.82,20338.02,6.39,-1942.77,-2137.54,283.56
USA,-78.5,265.74,Very low,18898.56,2.31,-277.77,-12.6,-93.58,54.96,990.3,-850.62,21.43,1359.16,-9.52,-154.78,-29.54,317.64,201.56,3,848.48,7,-1669.06,0.31,4066.28,-1319.6,185.49,-1717.86,34.78,18.84,19002.17,27.9,-1931.79,-2761.94,-8.93
UK,-69.7,-4.74,Low,39557.73,-27.09,-148.83,-11.98,-132.76,49.44,-614.91,-695.43,22.98,206.86,-10.44,511.51,-28.16,200.19,107.54,5,4591.76,3,-2767.28,4.05,3852.88,171.98,167.31,-2275.1,50.16,3.82,20068.64,12.57,-1557.68,-1946.44,-8.93
Rest,-79.98,90.87,Very low,28628.04,14.07,-405.99,-10.27,-76.58,64.89,-1563.93,-1869.09,23.24,896.08,-8.54,115.53,-22.65,324.72,343.8,6,2257.74,4,-1479.52,3.66,4092.68,-881.52,86.52,-1432.68,47.68,2.32,16693.97,11.82,-1205.2,-3135.52,-8.93
USA,-72.36,381.69,Very low,28422.24,1.11,-261.87,-8.71,-35.23,78.06,-13.53,-873.96,24.62,1749.44,-2.92,426.06,-28.1,293.7,157.88,7,4795.32,5,-2406.84,212.3,3359.5,-673.5,176.07,-2372.74,47.04,16,17592.93,4.65,-2001.08,-1215.08,56.41
UK,-68,263.79,Medium,13941.42,19.14,-265.11,-4.91,-119.59,58.71,-338.25,-721.29,23.19,1105.86,-10.9,-287.17,-24.21,349.05,336.82,3,5609.28,4,-1718.06,1.03,4115.3,-290.74,117.36,-2671.8,55.7,3.3,14716.41,14.28,-2140.27,-2424.56,76.36
Europe,-72.5,213.03,Very high,22754.73,16.62,-236.1,-10.25,-93.94,73.74,1709.49,-2355.03,27.18,1162.7,-15.02,590.83,-22.34,194.7,320.76,3,6862.38,6,-1955.08,0.33,4075.26,43.64,139.14,-1156.7,46.26,10.54,22517.91,13.56,-2210.05,-2694.02,231.12
Europe,-72.44,326.61,High,17298.72,-5.64,-171.54,-5.88,-25.65,54.9,470.61,-2674.32,19.4,991.42,-3.1,384.58,-28.74,174.69,208.48,4,-165.6,6,-1296.3,0.07,4369.66,-906.06,83.94,-1529.48,36.66,11.94,17347.2,8.76,-2935.45,-2875.52,532.36
UK,-73.04,219.24,High,15677.13,33.3,-357.54,-3.24,-57.26,36.54,-82.62,-215.16,21.44,2010.32,-2.96,682.12,-25.44,344.64,123.8,2,4088.06,3,-292.48,1.05,4359.72,379.78,239.43,-1752.04,53.4,2.6,7444.74,12.66,-1444.57,-2580.84,603.16
USA,-67,169.74,Very high,26291.58,-16.26,-362.61,-5.66,-113.97,48.42,812.91,-763.74,20.28,1165.42,-2.88,168.05,-16.62,146.91,225.94,6,-80.43,5,-1525.62,0.94,4074.1,-1395.98,199.44,-2026.72,58.74,4.14,16222.43,1.77,-1496.91,-2381.92,391.09
Europe,-72.42,268.83,Medium,26183.01,0.54,-140.73,-4.83,-111.9,67.14,367.95,-2458.53,24.22,357,-3.62,308.4,-33.55,170.13,276.78,7,5124.95,5,-1794.56,130.68,3390.48,-520.54,111.48,-2148.7,59.06,3.34,17754.38,10.32,-1917.83,-2267.26,41.5
USA,-64.96,100.2,High,21234.69,-43.17,-179.28,-13,-51.9,61.32,-145.83,-1308.72,21.82,-147.82,-5.26,247.98,-26.48,149.46,383.1,3,5244.69,2,-2578,1.53,5465.68,-904.2,80.34,-3307.46,46.72,6.1,16798.2,13.8,-1924.69,-2045.54,124.39
UK,-62.94,208.26,Very low,27703.02,6.3,-365.73,-8.08,-85.39,59.58,-280.35,-1495.71,24.97,1759.34,-3.96,677.47,-31.74,244.53,400.98,6,3308.78,5,-2835.56,26.97,4652,241.7,183.99,-2013.82,56.76,11.9,16981.02,11.1,-1991.67,-2068.26,4.15
Rest,-80.04,191.1,High,16283.4,2.88,-293.28,-9.42,-50.66,62.37,1699.65,-984.42,21.58,10.72,-10.06,124.13,-26.86,41.97,381.08,4,7774.7,8,-1155.26,0.13,4497.66,-2069.7,279.63,-2029.3,38.16,12.66,14778.02,7.17,-1814.95,-2166.06,176.5
UK,-58.74,-13.95,High,26365.89,12.12,-314.01,-6.44,-66.19,50.55,-601.38,-3539.58,23.72,1205.04,-0.96,226.41,-29.92,161.76,264.34,3,974.33,5,-2192.12,1.45,2409.38,-524.78,214.2,-2551.88,49.94,7.78,24802.9,7.92,-2206.09,-1081.14,723.93
UK,-71.6,209.82,Low,23521.89,22.14,-364.47,-11.64,-39.93,64.68,-1377.42,-762.06,26.36,1402.6,4.32,-458.91,-32.1,320.49,317.18,4,6133.05,7,-1849.28,2.74,4026.12,-1302,182.01,-2530.56,50.12,1.44,17877.65,3.99,-1779.15,-2154.54,736.98
Rest,-67.06,232.56,Very high,14674.56,1.62,-227.28,-10.17,-105.97,14.58,562.74,-2014.83,23.46,1630.24,-14.56,145.66,-30.27,138.36,421.52,2,5058.44,4,-2122.38,1.86,7004.56,-593.02,275.28,-1895.8,54.1,10.14,19366.98,3.81,-1312.83,-1734.92,161.65
UK,-64.42,141.78,Low,14918.07,29.76,-136.05,-7.05,-89.11,63.69,1460.04,97.8,22.12,90,-11.12,57.44,-24.47,197.55,388.86,5,5245,4,-2156.32,0.92,3779.5,-1390.38,89.73,-2347.7,49.74,2.16,18427.18,6.42,-2116.26,-2301.02,28.68
USA,-68.74,191.64,High,13776.12,16.8,-529.32,-12.64,-24.1,74.91,1040.67,-737.91,23.82,1839.06,-8.5,647.13,-23,250.14,281.82,2,7621.61,2,142.86,3.41,4309.4,-398.96,110.67,-2077.48,34.8,7.46,26432.88,10.23,-1893.74,-1035.92,166.98
UK,-77.62,207.27,Very low,1287.36,9.57,-317.43,-0.94,-110.73,49.83,1705.53,-915.39,23.85,1370.02,-0.94,768.39,-24.2,198.27,426.42,4,39.49,4,-2664.8,1.69,3932.72,-1120.56,96.57,-2423.58,55.18,7.02,16100.76,9.84,-2015.97,-1963.08,447.99
Rest,-53.4,72.96,Very high,12314.13,6.87,-334.2,-8.12,-117.19,71.34,-497.04,-2479.41,19.35,2192.44,-18.22,10.65,-17.13,183.57,277.86,3,-1465.79,4,-832.84,0.45,2923.48,574.2,89.64,-1393.82,54.56,8.62,14170.19,10.23,-1919.86,-1751,75.05
Rest,-88.18,208.08,High,22202.22,12.51,-472.83,-8.58,-70.52,56.91,1071.42,802.62,20.35,1556.38,-8.3,-209.13,-28.08,256.65,173.18,4,9013.3,3,-1809.98,4.58,3836.6,-2501.64,230.34,-1513.5,39.22,17.74,16560.95,3.63,-1855.87,-1863.82,77.16
UK,-62.66,202.71,High,22568.31,5.52,-294.69,-5.98,-106.7,62.07,1737.03,-266.46,29.59,1582.92,-5.8,144.23,-23.55,109.11,263.14,2,4540.78,7,-1784.68,0.51,3961.22,-731.78,264.51,-2232.32,22.6,4.4,13600.11,24.72,-2219.15,-2337.38,436.4
Rest,-70.8,248.16,Low,17025.81,1.38,-310.89,-11.61,-35.19,56.07,691.89,-3216.36,20.47,4.5,-11.12,410.46,-26.01,148.83,206.26,4,-1881.29,1,-1549.24,0.01,3322.98,-436.72,58.05,-3773.62,45.82,1.18,16578.19,5.31,-1702.99,-2958.16,6.46
UK,-77.22,-22.65,High,8124.57,-4.35,-401.73,-11.82,-69.05,66.66,999.45,-2130.48,19.12,1006.84,-1.8,604.97,-28.3,361.05,250.84,5,4971.24,3,203.32,0.05,3682.16,-498.18,167.25,-3024.26,47.48,16.6,14853.05,2.19,-2054.87,-2737.78,649.8
USA,-65.6,195.69,Very low,18826.59,-0.27,-251.25,-8.29,-58.62,70.89,1013.04,-3063.66,23.9,2110.76,-9.44,-39.55,-25.08,128.1,218.5,2,-735.92,5,-1074.46,0.2,2711.9,-2478.26,113.67,-1433.76,54.42,14.02,17360.04,18.45,-1823.77,-1409.96,52.4
UK,-81.72,214.86,Low,36704.46,5.73,-247.26,-11.09,-55.23,59.07,-366.21,-598.11,22.36,-80.54,1.12,80.97,-26.5,177.36,390.8,4,1516.99,3,-1469.9,18.13,3905.88,-93.66,256.32,-2720.92,44.12,3.9,15037.54,4.62,-1065.08,-2120.58,484.05
USA,-70.92,168.33,Low,27460.8,-11.22,-244.56,-8.79,-86.06,55.11,671.88,530.28,31.83,978.52,-2.12,126.86,-20.65,260.13,326.98,2,2281.46,4,-1152.12,0.75,3297.6,-577.72,143.22,-2925.02,46.52,3.42,18569.66,19.41,-1839.76,-2135.58,128.48
USA,-60.98,132.93,Very high,24835.59,28.23,-322.92,-8.53,-113.41,75.36,-452.01,-2403.63,22.35,454.54,-5.02,236.39,-21.05,151.32,123.28,3,5313.76,6,-1696.34,0.61,5825.26,-1021.16,132.63,-2673.2,47.3,3.74,18062.14,7.38,-1554.11,-2950.32,419.09
Rest,-63.82,215.13,Medium,17297.67,4.92,-241.89,-6.4,-33.6,52.74,1066.8,-1381.71,21.71,993.98,-7.74,694.81,-20.22,302.28,372.16,4,6312.09,3,-833.92,0.55,3563.98,-830.02,193.17,-814.84,41.72,5.06,10973.17,8.22,-1387.18,-2310.78,43.07
Europe,-63.34,385.98,Low,12284.58,-9.69,-480.33,-16.47,-67.54,60.03,1867.17,-2812.23,30.38,1177.96,-9.48,147.49,-26.94,202.71,301.54,2,2277.59,3,-325.46,2.34,4095.18,-503.9,199.74,-2926.46,34.3,5.46,15834.77,8.01,-2339.85,-1331.64,229.8
Rest,-80.92,207.6,Medium,22782.93,-2.04,-356.94,-13.97,-83.93,55.11,-1224.51,-1054.89,28.45,1317.56,-8.24,379.33,-27.32,108.42,295.88,3,-827.77,4,344.26,21.92,3600.7,-1368.52,112.89,-2192.58,42.84,3.96,17597.36,5.97,-2056.07,-1905.1,128.7
Europe,-63.32,261.15,Medium,3857.37,0.78,-219.78,-8.63,-65.76,60.96,1546.11,-1672.11,17.91,1521.34,-14.86,180.73,-27.75,124.65,233.5,4,215.09,2,-1743.92,2.55,3527.54,-469.46,146.91,-1749.04,47.66,6.56,5736.68,19.71,-1925.82,-2659.08,-8.93
USA,-55.98,221.91,Medium,15434.07,2.46,-456.63,-11.41,-92.89,55.83,-1204.2,-1232.76,22.78,1379.34,-4.54,565.84,-17.75,362.61,345.04,5,3680.05,6,-2672.8,0.44,3256.96,-427.48,110.73,-2448.38,62.08,2.76,18769.71,4.17,-1647.71,-2099.56,315.9
Rest,-67.78,347.52,Very high,30393.81,-37.8,-339.72,-12.83,-94.13,55.14,164.88,-337.92,22.28,1206.54,-0.74,-38.87,-22.46,151.23,425.92,3,6405.52,5,-1275.78,0.16,4550.6,-15.94,206.88,-2468.12,48.92,6.02,12396.71,13.65,-868.15,-1668.64,185.58
USA,-90.46,145.98,High,20530.11,9.09,-139.05,-8.89,-55.94,77.46,-100.2,-2340.18,26.58,1308.76,-2.98,708.72,-39.26,-7.53,310.36,4,5105.76,4,-1946.12,3.62,5133.96,-90,150.24,-2014.48,50.98,1.74,18797.61,13.8,-1727.27,-2296.54,202.91
Europe,-126.2,-32.82,High,21645,85.59,-275.49,-8.7,-47.75,61.05,528.42,-2002.92,22.43,1054.04,-6.26,338.76,-21.8,300.27,296.36,5,4500.47,2,-900.9,1.37,4344.4,-1630.76,126.57,-2052.82,49.18,6.94,16330.2,16.5,-1852.5,-2601.54,-8.93
UK,-62.66,202.35,High,28808.64,29.58,-271.98,-6.25,-92.53,68.25,251.07,-994.35,22.2,1134.94,-2.96,67.01,-27.98,224.82,176.66,2,5753.04,5,-2298.72,0.01,4427.64,-73.78,-4.2,-2808.36,59.28,0.78,9340.22,11.28,-1729.27,-2056.28,674.35
Rest,-73.76,354.54,Medium,17472.24,9.24,-171.24,-12.39,-87.71,77.7,89.13,-1765.71,9.14,2733.66,-6.64,312.54,-29.22,355.83,97.38,6,5159.59,3,-1188.48,0.55,4038,-1385.26,162,-2195.08,44.68,11.34,16784.72,7.23,-1561.02,-1104.48,18.94
UK,-69.58,204.51,High,21613.53,13.08,-297.39,-11.13,-80.92,44.58,794.76,-1664.85,24.23,1576.62,-6.4,557.12,-26.07,185.22,191.22,4,5047.62,4,-1951.38,1.22,3613.72,-871.28,176.97,-996.94,32.06,10.08,24105.52,23.79,-2056.48,-2730.02,-0.4
Europe,-65.6,195,High,9855,6.66,-372.33,-9.12,-73.65,76.02,8.22,-1566.78,21.45,1022.54,-9.56,417.45,-25.52,320.4,254.74,4,2904.26,5,-1306.2,0.3,4085.02,-181.1,176.61,-1037.04,37.26,3.62,15801.14,21,-2660.47,-2627.04,43.95
UK,-56.38,231.48,Very high,20287.53,-3.27,-245.37,-8.59,-82.2,64.95,-492.66,-686.37,23.53,1170.42,-1.66,301.26,-28.03,217.8,254.06,6,1763.78,5,-1968.44,2.77,4228.9,-850.48,182.7,-3294.1,44.38,11.86,17294.82,9.72,-2935.45,-1889.92,627.32
UK,-70,221.25,Medium,13692.9,36.24,-406.89,-8.61,-56.52,45.96,1405.95,-461.85,23.91,850.9,-0.78,725.17,-23.93,247.8,286.06,5,-1137.73,2,-3143.18,0.83,3533.14,-1596.74,241.83,-3076.56,44.78,10.72,15537.62,10.2,-1631.91,-3213.76,293.92
USA,-74.6,251.67,High,18209.34,9.66,-309.78,-8.59,-42.54,54.54,2415.57,-2777.58,19.86,1440.52,-15.8,198.98,-10.59,177.51,461.36,1,1181.9,4,-1514.22,1.12,3998.26,141.9,124.59,-1808.98,53.5,13,15131.09,6.15,-1875.49,-2294.94,263.67
Rest,-77.38,345.09,High,23142.6,26.1,-265.47,-4.51,-91.44,89.88,713.91,500.52,24.01,755.8,-3.28,574.52,-20.44,132.18,201.26,7,5305.77,6,-2039.24,24.18,3853.5,46.04,139.65,-2092.14,44.32,9.42,18022.56,8.73,-1974.16,-3142.42,94.43
Europe,-84.3,144.06,Low,22310.22,7.83,-231.63,-10.45,-42.49,57.21,337.77,-2057.82,20.81,702.38,-8.92,500.47,-19.93,183.03,369.64,6,-850.06,1,-1234.62,0.74,3232.58,-900.3,74.52,-2579.56,47.38,12.84,16556.31,12.99,-1515.86,-1477.58,-8.93
Rest,-70.88,164.91,Very low,25976.52,-17.07,-240.09,-7.14,-63.32,50.13,1732.95,-1146.09,22.88,143.7,-1.08,-94.69,-11.04,186.9,219.14,4,2825.39,8,-1032.36,0.14,4237.48,-862.54,106.23,-1685.52,57.54,15.66,22659.81,15,-2028.14,-2090.18,103.99
Rest,-70.02,246.36,High,9079.32,7.38,-199.83,-9.89,-97.22,62.22,-722.94,-1658.52,18.37,1235,-3.98,-25.61,-30.04,279.6,414.86,5,2.07,3,-1125.16,3.11,4946.72,-1041.46,125.49,-2648.4,40.84,4.62,13860.17,7.71,-1690.38,-2127.38,124.93
USA,-68.98,180.45,Very low,34923.6,-12.24,-158.94,-12.86,-121.21,63.12,1915.92,-811.5,24.56,2233.22,-0.8,817.28,-26.69,218.25,299.34,1,-56.79,4,-658,1.42,4879.42,-1307.78,233.16,-3076.02,65.94,6.12,18884.88,6.03,-1922.95,-2341,320.51
Europe,-70.08,156.18,Very high,1283.58,2.52,-393,-10.09,-64.14,63.21,490.02,-499.74,22.63,490.72,-17.92,429.49,-29.51,124.77,351.1,6,1147.11,1,-1658.04,18.97,4531.44,-1331.78,189.75,-2430.56,43.86,3.68,12576.7,4.35,-1945.97,-2718.5,-8.93
UK,-75.74,-0.57,Very high,34836.3,3.57,-290.28,-12.95,-112.36,68.82,-44.49,-1682.28,21.74,1205.42,-14.64,128.26,-28.66,250.38,276.94,3,3153.56,6,-488.24,2.57,6151.14,-228.9,138.96,-1653.76,45.94,13.36,19292.89,10.74,-1736.42,-813.44,400.99
UK,-78.22,266.04,Very high,20165.19,17.04,-483.3,-7.22,-97.85,57.9,-586.59,-1011.36,23.43,1977.8,-14.66,606.31,-29.57,311.91,317.9,3,-952.18,2,-1949.74,8.16,5047,-306.22,15.69,-2088.9,46.24,6.34,17425.97,15.93,-1652.31,-2514.66,36.73
Rest,-49.3,152.49,Low,32104.23,32.88,-303.36,-11.52,-72.42,43.71,-189.3,-692.28,22.34,1272.14,-6.02,208.11,-27.94,332.49,224.52,4,5430.91,3,-587.4,11.48,4066.32,-1974.66,277.98,-2388.2,40.22,3.1,17623.24,1.53,-2636.5,-2451,62.08
UK,-77.56,233.88,Very high,28242.21,20.67,-287.37,-4.97,-109.61,45.09,-2.25,-1939.17,23.63,910.64,-6.58,-240.82,-21.13,438.63,307.46,5,10568.35,3,-109.56,114.84,4885.74,-190.54,270.18,-1996.26,46.46,5.62,17648.78,11.55,-2352.07,-3626.92,84.65
Rest,-80.34,234.84,Very high,13860.21,4.98,-284.88,-7.12,-17.37,60.81,210.93,-739.05,17.16,798.14,-17.42,125.85,-28.88,248.88,437.54,3,1700.88,4,-853.34,2.73,4647.36,-725.04,281.52,-1942.22,47.58,6.98,18178.8,22.29,-1804.31,-1602.16,-4.34
Rest,-68.74,41.22,High,6126.03,82.53,-360.42,-10.47,-94.81,41.52,369.63,-1575.6,21.01,1154.9,-15.56,474.52,-24.63,187.8,112.08,5,1901.42,4,-1942.8,8.47,4079.88,-220.34,-3.45,-1482.88,55.8,6.2,21314.88,9.66,-2020.96,-2641.38,27.37
USA,-100.4,199.89,Medium,38489.82,-12.24,-298.47,-2.58,-70.16,57.78,959.7,-1126.95,22.26,406.88,3.78,947.17,-28.25,188.1,324.1,5,3920.98,0,-1376.82,50.46,3837.74,-256.08,114.69,-2567.3,35.98,1.9,16610.93,22.53,-2769.73,-1239.04,-8.93
Europe,-69.3,216.96,Low,33542.91,11.22,-219.33,-6.16,-68.05,76.17,2028.72,-1299.09,20.9,1465.18,-3.86,354,-27.86,54.48,254.42,4,3870.02,5,-664.62,0.05,4051.44,-535.08,445.89,-2178.48,49.44,11.68,13224.52,19.47,-2045.35,-2628.74,-8.93
Europe,-76.94,135.66,Very low,202.56,5.04,-344.55,-4.75,-96.18,53.55,416.01,-1911.12,25.59,1358.5,-11.52,498.77,-29.17,218.01,242.3,6,6763.36,4,-2095.9,14.59,3914.84,162.94,186.3,-2758.6,36.04,11.84,28779.76,5.73,-1391.81,-3069.1,-8.93
Europe,-69.56,239.31,High,27154.77,4.53,-193.71,-5.41,-95.05,56.04,-21.69,-2421.9,30.74,1262.88,-3.34,301.67,-26.67,116.22,285.9,3,4532,3,-1212.46,10.22,4211.72,-1300.94,228.3,-2927.28,45.98,4.44,28917.95,5.7,-2016.36,-1012.18,455.51
Rest,-70.22,144.42,Very high,27147.15,-4.59,-260.13,-6.14,-131.71,48.15,983.4,83.34,22.14,1710.18,-8.38,339.85,-26.33,328.8,276.04,1,5232.86,3,-1692.44,0.12,3194.72,168.08,174.57,-2354.84,48.24,15.98,16690.6,0.54,-2378.47,-1623.7,243.91
Europe,-69.66,59.28,High,23666.19,2.97,-358.38,-7.4,-38.94,58.32,1558.26,-696.24,24.47,-12.6,-7.54,131.51,-26.3,245.1,108.22,7,1627.16,4,-2443.48,0.15,4068.42,-1139.64,234.63,-2103.96,46.94,7.72,21974.83,43.71,-1940.89,-1974.9,-8.93
Rest,-92.9,213.12,Very low,14367,27.42,-372.63,-3.96,-55.66,53.31,-335.28,-1104.03,19.9,345.42,-3.8,552.36,-21.82,86.34,287,2,3301.5,8,-533.12,2.52,5005.44,-730.32,150.36,-2308.56,51.22,2.12,17364.09,5.64,-868.36,-2405.24,256.39
Europe,-82.6,298.14,Very high,14992.68,-7.65,-378.42,-13.11,-0.22,62.31,217.44,-1120.26,14.98,1042.22,-4.32,605.53,-22.79,224.52,296.74,5,5170.79,5,-5.88,0.3,4760.8,-618.12,155.07,-2253.08,43.4,8.56,19847.47,9.78,-2075.9,-1902.72,449.98
Europe,-84.72,424.47,Medium,13665.33,-0.39,-314.22,-5.53,-97.02,58.5,1094.55,-964.44,21.69,2157,-1.76,177.77,-26.6,178.53,282.12,2,5919.84,3,-1373.7,0.61,3401.86,393.92,219.57,-2140.46,45.94,3.18,12466.44,14.25,-1951.98,-2454.74,348.83
UK,-74,98.82,Low,26253.81,-9.12,-192.03,-11.04,-72.51,53.79,1261.32,-1167.51,24.67,2391.82,-12.4,508.87,-28.88,360.81,311.72,5,6792.59,3,-2513.64,25.31,4928.6,-671.12,144.51,-1065.1,45.04,6.72,7380.28,31.89,-2075.33,-2227.64,-8.93
USA,-56.1,246.42,Low,39923.58,6.24,-222.96,-13.77,-61.36,67.29,1980.75,-411.15,24.17,827.82,-15.76,17.88,-26.92,156.03,298.62,4,4941.5,2,-368.42,61.59,3395.44,-1456.56,-6.81,-1779.38,37.5,9.5,16602.14,6.57,-2090.12,-3030.3,-8.93
Europe,-74.6,204.9,Medium,30627.21,14.64,-341.13,-6.07,-74.21,65.79,-1276.17,-1975.14,19.73,495.74,-5,41.56,-25.48,178.5,403.04,5,5877.04,6,-1042.68,4.12,3808.12,-2029.68,117.6,-1895.2,54.1,5,19890.6,15.15,-1908.2,-1837.1,90.16
USA,-69.8,205.59,Low,23591.79,-1.11,-426.27,-8.7,-114.93,57.24,-1274.88,-1327.38,23.12,983.48,-3.1,91.92,-24.32,246.27,223.08,4,4599.91,4,-1474.32,0.49,3543.46,-1088.4,307.62,-1418.66,43.78,11.14,20570.15,1.71,-1555.95,-2028.82,251.49
